VMID,Hostname,HypervisorType,Cluster,HostNode,PowerState,ProvisionedGB,UsedGB,LastSync
HV001,Asset001,VMware,Cluster-A,ESX-01,PoweredOn,200,120,2026-09-22
HV002,Asset002,VMware,Cluster-A,ESX-02,PoweredOn,250,150,2026-09-22
HV003,Asset003,VMware,Cluster-B,ESX-03,PoweredOff,180,95,2026-09-22
HV004,Asset004,Hyper-V,Cluster-C,HV-01,PoweredOn,300,210,2026-09-22
HV005,Asset005,Hyper-V,Cluster-C,HV-02,PoweredOn,150,90,2026-09-22
HV006,Asset006,VMware,Cluster-A,ESX-01,PoweredOn,220,75,2026-09-22
HV007,Asset007,VMware,Cluster-B,ESX-04,PoweredOff,350,320,2026-09-22
HV008,Asset008,Hyper-V,Cluster-C,HV-03,PoweredOn,140,140,2026-09-22
HV009,Asset009,VMware,Cluster-D,ESX-05,PoweredOn,275,260,2026-09-22
HV010,Asset010,VMware,Cluster-D,ESX-06,PoweredOn,190,185,2026-09-22
HV011,Asset011,Hyper-V,Cluster-E,HV-04,PoweredOn,210,90,2026-09-22
HV012,Asset012,VMware,Cluster-A,ESX-02,PoweredOff,260,130,2026-09-22
HV013,Asset013,VMware,Cluster-B,ESX-03,PoweredOn,170,170,2026-09-22
HV014,Asset014,Hyper-V,Cluster-C,HV-01,PoweredOn,320,245,2026-09-22
HV015,Asset015,VMware,Cluster-D,ESX-05,PoweredOff,280,110,2026-09-22
HV016,Asset016,VMware,Cluster-A,ESX-01,PoweredOn,240,220,2026-09-22
HV017,Asset017,Hyper-V,Cluster-E,HV-05,PoweredOn,200,160,2026-09-22
HV018,Asset018,VMware,Cluster-B,ESX-04,PoweredOn,155,120,2026-09-22
HV019,Asset019,VMware,Cluster-D,ESX-06,PoweredOff,310,280,2026-09-22
HV020,Asset020,Hyper-V,Cluster-C,HV-02,PoweredOn,180,150,2026-09-22
HV021,Asset021,VMware,Cluster-A,ESX-02,PoweredOn,230,145,2026-09-22
HV022,Asset022,VMware,Cluster-B,ESX-03,PoweredOn,260,165,2026-09-22
HV023,Asset023,Hyper-V,Cluster-E,HV-04,PoweredOff,195,80,2026-09-22
HV024,Asset024,VMware,Cluster-D,ESX-05,PoweredOn,340,310,2026-09-22
HV025,Asset025,VMware,Cluster-A,ESX-01,PoweredOn,210,100,2026-09-22
HV026,Asset026,Hyper-V,Cluster-C,HV-03,PoweredOff,250,170,2026-09-22
HV027,Asset027,VMware,Cluster-B,ESX-04,PoweredOn,225,175,2026-09-22
HV028,Asset028,VMware,Cluster-D,ESX-06,PoweredOn,205,130,2026-09-22
HV029,Asset029,Hyper-V,Cluster-E,HV-05,PoweredOn,290,250,2026-09-22
HV030,Asset030,VMware,Cluster-A,ESX-02,PoweredOff,160,140,2026-09-22
HV031,Asset031,VMware,Cluster-B,ESX-03,PoweredOn,300,270,2026-09-22
HV032,Asset032,Hyper-V,Cluster-C,HV-01,PoweredOn,175,95,2026-09-22
HV033,Asset033,VMware,Cluster-D,ESX-05,PoweredOff,215,115,2026-09-22
HV034,Asset034,VMware,Cluster-A,ESX-01,PoweredOn,255,235,2026-09-22
HV035,Asset035,Hyper-V,Cluster-E,HV-04,PoweredOn,195,150,2026-09-22
HV036,Asset036,VMware,Cluster-B,ESX-04,PoweredOn,310,290,2026-09-22
HV037,Asset037,VMware,Cluster-D,ESX-06,PoweredOff,185,90,2026-09-22
HV038,Asset038,Hyper-V,Cluster-C,HV-02,PoweredOn,240,180,2026-09-22
HV039,Asset039,VMware,Cluster-A,ESX-02,PoweredOn,275,200,2026-09-22
HV040,Asset040,VMware,Cluster-B,ESX-03,PoweredOff,220,105,2026-09-22
HV041,Asset041,Hyper-V,Cluster-E,HV-05,PoweredOn,260,240,2026-09-22
HV042,Asset042,VMware,Cluster-D,ESX-05,PoweredOn,230,190,2026-09-22
HV043,Asset043,VMware,Cluster-A,ESX-01,PoweredOff,180,120,2026-09-22
HV044,Asset044,Hyper-V,Cluster-C,HV-03,PoweredOn,210,170,2026-09-22
HV045,Asset045,VMware,Cluster-B,ESX-04,PoweredOn,320,295,2026-09-22
HV046,Asset046,VMware,Cluster-D,ESX-06,PoweredOff,200,125,2026-09-22
HV047,Asset047,Hyper-V,Cluster-E,HV-04,PoweredOn,250,210,2026-09-22
HV048,Asset048,VMware,Cluster-A,ESX-02,PoweredOn,270,260,2026-09-22
HV049,Asset049,VMware,Cluster-B,ESX-03,PoweredOff,190,85,2026-09-22
HV050,Asset050,Hyper-V,Cluster-C,HV-01,PoweredOn,300,280,2026-09-22
