DeviceID,Hostname,IP,Location,Status,Vendor,Model,LastSeen
SW001,Asset001,10.10.1.1,Bengaluru,Online,Cisco,C9300,2026-09-22
SW002,Asset002,10.10.1.2,Hyderabad,Offline,Juniper,EX4300,2026-09-22
SW003,Asset003,10.10.1.3,Chennai,Warning,Aruba,2930F,2026-09-22
SW004,Asset004,10.10.1.4,Pune,Online,Cisco,C9400,2026-09-22
SW005,Asset005,10.10.1.5,Mumbai,Online,Cisco,C9300,2026-09-22
SW006,Asset006,10.10.1.6,Bengaluru,Offline,Juniper,EX4300,2026-09-22
SW007,Asset007,10.10.1.7,Hyderabad,Online,Aruba,2930F,2026-09-22
SW008,Asset008,10.10.1.8,Chennai,Warning,Cisco,C9400,2026-09-22
SW009,Asset009,10.10.1.9,Pune,Online,Cisco,C9300,2026-09-22
SW010,Asset010,10.10.1.10,Mumbai,Offline,Juniper,EX4300,2026-09-22
SW011,Asset011,10.10.1.11,Bengaluru,Online,Aruba,2930F,2026-09-22
SW012,Asset012,10.10.1.12,Hyderabad,Warning,Cisco,C9400,2026-09-22
SW013,Asset013,10.10.1.13,Chennai,Online,Cisco,C9300,2026-09-22
SW014,Asset014,10.10.1.14,Pune,Offline,Juniper,EX4300,2026-09-22
SW015,Asset015,10.10.1.15,Mumbai,Online,Aruba,2930F,2026-09-22
SW016,Asset016,10.10.1.16,Bengaluru,Warning,Cisco,C9400,2026-09-22
SW017,Asset017,10.10.1.17,Hyderabad,Online,Cisco,C9300,2026-09-22
SW018,Asset018,10.10.1.18,Chennai,Offline,Juniper,EX4300,2026-09-22
SW019,Asset019,10.10.1.19,Pune,Online,Aruba,2930F,2026-09-22
SW020,Asset020,10.10.1.20,Mumbai,Warning,Cisco,C9400,2026-09-22
SW021,Asset021,10.10.1.21,Bengaluru,Online,Cisco,C9300,2026-09-22
SW022,Asset022,10.10.1.22,Hyderabad,Offline,Juniper,EX4300,2026-09-22
SW023,Asset023,10.10.1.23,Chennai,Online,Aruba,2930F,2026-09-22
SW024,Asset024,10.10.1.24,Pune,Warning,Cisco,C9400,2026-09-22
SW025,Asset025,10.10.1.25,Mumbai,Online,Cisco,C9300,2026-09-22
SW026,Asset026,10.10.1.26,Bengaluru,Offline,Juniper,EX4300,2026-09-22
SW027,Asset027,10.10.1.27,Hyderabad,Online,Aruba,2930F,2026-09-22
SW028,Asset028,10.10.1.28,Chennai,Warning,Cisco,C9400,2026-09-22
SW029,Asset029,10.10.1.29,Pune,Online,Cisco,C9300,2026-09-22
SW030,Asset030,10.10.1.30,Mumbai,Offline,Juniper,EX4300,2026-09-22
SW031,Asset031,10.10.1.31,Bengaluru,Online,Aruba,2930F,2026-09-22
SW032,Asset032,10.10.1.32,Hyderabad,Warning,Cisco,C9400,2026-09-22
SW033,Asset033,10.10.1.33,Chennai,Online,Cisco,C9300,2026-09-22
SW034,Asset034,10.10.1.34,Pune,Offline,Juniper,EX4300,2026-09-22
SW035,Asset035,10.10.1.35,Mumbai,Online,Aruba,2930F,2026-09-22
SW036,Asset036,10.10.1.36,Bengaluru,Warning,Cisco,C9400,2026-09-22
SW037,Asset037,10.10.1.37,Hyderabad,Online,Cisco,C9300,2026-09-22
SW038,Asset038,10.10.1.38,Chennai,Offline,Juniper,EX4300,2026-09-22
SW039,Asset039,10.10.1.39,Pune,Online,Aruba,2930F,2026-09-22
SW040,Asset040,10.10.1.40,Mumbai,Warning,Cisco,C9400,2026-09-22
SW041,Asset041,10.10.1.41,Bengaluru,Online,Cisco,C9300,2026-09-22
SW042,Asset042,10.10.1.42,Hyderabad,Offline,Juniper,EX4300,2026-09-22
SW043,Asset043,10.10.1.43,Chennai,Online,Aruba,2930F,2026-09-22
SW044,Asset044,10.10.1.44,Pune,Warning,Cisco,C9400,2026-09-22
SW045,Asset045,10.10.1.45,Mumbai,Online,Cisco,C9300,2026-09-22
SW046,Asset046,10.10.1.46,Bengaluru,Offline,Juniper,EX4300,2026-09-22
SW047,Asset047,10.10.1.47,Hyderabad,Online,Aruba,2930F,2026-09-22
SW048,Asset048,10.10.1.48,Chennai,Warning,Cisco,C9400,2026-09-22
SW049,Asset049,10.10.1.49,Pune,Online,Cisco,C9300,2026-09-22
SW050,Asset050,10.10.1.50,Mumbai,Offline,Juniper,EX4300,2026-09-22
