BackupID,ServerName,BackupStatus,BackupSizeGB,LastBackup,RestorePoint
VB001,Asset001,Success,120,2026-09-22,15
VB002,Asset002,Failed,150,2026-09-22,12
VB003,Asset003,Warning,95,2026-09-22,20
VB004,Asset004,Success,180,2026-09-22,10
VB005,Asset005,Success,210,2026-09-22,25
VB006,Asset006,Failed,75,2026-09-22,18
VB007,Asset007,Success,320,2026-09-22,8
VB008,Asset008,Warning,140,2026-09-22,22
VB009,Asset009,Success,260,2026-09-22,14
VB010,Asset010,Success,185,2026-09-22,17
VB011,Asset011,Failed,90,2026-09-22,11
VB012,Asset012,Success,130,2026-09-22,16
VB013,Asset013,Warning,275,2026-09-22,19
VB014,Asset014,Success,340,2026-09-22,24
VB015,Asset015,Success,410,2026-09-22,9
VB016,Asset016,Failed,220,2026-09-22,13
VB017,Asset017,Success,160,2026-09-22,21
VB018,Asset018,Warning,190,2026-09-22,18
VB019,Asset019,Success,280,2026-09-22,14
VB020,Asset020,Success,350,2026-09-22,26
VB021,Asset021,Failed,145,2026-09-22,10
VB022,Asset022,Success,165,2026-09-22,15
VB024,Asset023,Success,260,2026-09-22,28
VB025,Asset024,Success,310,2026-09-22,12
VB026,Asset025,Failed,110,2026-09-22,16
VB027,Asset026,Success,205,2026-09-22,17
VB028,Asset027,Warning,175,2026-09-22,11
VB029,Asset028,Success,195,2026-09-22,13
VB030,Asset029,Success,225,2026-09-22,22
VB031,Asset030,Failed,275,2026-09-22,19
VB032,Asset031,Success,300,2026-09-22,24
VB033,Asset032,Warning,155,2026-09-22,15
VB034,Asset033,Success,215,2026-09-22,21
VB035,Asset034,Success,245,2026-09-22,18
VB036,Asset035,Failed,285,2026-09-22,14
VB037,Asset036,Success,190,2026-09-22,20
VB038,Asset037,Warning,175,2026-09-22,16
VB039,Asset038,Success,135,2026-09-22,12
VB040,Asset039,Success,365,2026-09-22,27
VB041,Asset040,Failed,210,2026-09-22,11
VB042,Asset041,Success,250,2026-09-22,19
VB043,Asset042,Warning,295,2026-09-22,23
VB044,Asset043,Success,330,2026-09-22,25
VB045,Asset044,Success,175,2026-09-22,13
VB046,Asset045,Failed,145,2026-09-22,17
